,code,geom,box
0,S_k_1,"                                            geometry
0  POLYGON ((131.12702 -13.08594, 131.10858 -13.0...","{'lats': [-13.085938878464573, -13.085938219729396, -13.06786012735315, -13.067859469559185], 'lons': [131.12702073220194, 131.10857859608646, 131.10857859608646, 131.12701938916152]}"
1,S_k_2,"                                            geometry
0  POLYGON ((131.39206 -14.13964, 131.37354 -14.1...","{'lats': [-14.139638101050135, -14.139637387220494, -14.121560821659969, -14.12156010877958], 'lons': [131.39206160019393, 131.37353766861096, 131.37353766861096, 131.3920601381752]}"
2,S_k_3,"                                            geometry
0  POLYGON ((131.39736 -14.16824, 131.37884 -14.1...","{'lats': [-14.168238079189077, -14.168237363857335, -14.15016084125536, -14.150160126873097], 'lons': [131.397362758014, 131.37883650915856, 131.37883650915856, 131.3973612927302]}"
3,S_k_4,"                                            geometry
0  POLYGON ((132.37991 -15.26784, 132.36129 -15.2...","{'lats': [-15.267837208631624, -15.267836435262302, -15.249761624280655, -15.249760851870006], 'lons': [132.37990924974451, 132.36128995390388, 132.36128995390388, 132.3799076573996]}"
4,S_k_5,"                                            geometry
0  POLYGON ((131.16170 -12.50324, 131.14330 -12.5...","{'lats': [-12.503239284731974, -12.503238656267273, -12.485159766752963, -12.485159139225333], 'lons': [131.16169961143632, 131.14329974922384, 131.14329974922384, 131.16169833314518]}"
5,S_k_6,"                                            geometry
0  POLYGON ((133.36200 -17.19194, 133.34320 -17.1...","{'lats': [-17.191935547246132, -17.19193467086973, -17.1738631303501, -17.173862254950482], 'lons': [133.36200008630303, 133.34319900228357, 133.34319900228357, 133.36199826380837]}"
6,S_k_216,"                                            geometry
0  POLYGON ((142.18048 -14.69134, 142.16191 -14.6...","{'lats': [-14.691337672328546, -14.69133692945767, -14.67326120657952, -14.673260464662395], 'lons': [142.18048439263768, 142.1619148445037, 142.1619148445037, 142.18048286728566]}"
7,S_k_227,"                                            geometry
0  POLYGON ((142.53212 -15.58874, 142.51348 -15.5...","{'lats': [-15.588736943635304, -15.588736153219646, -15.570661863570685, -15.570661074116543], 'lons': [142.53212355154648, 142.51347563327127, 142.51347563327127, 142.53212192153603]}"
8,S_k_228,"                                            geometry
0  POLYGON ((142.48662 -15.59934, 142.46798 -15.5...","{'lats': [-15.599336934798412, -15.59933614381881, -15.581261871557158, -15.581261081539159], 'lons': [142.48662402968375, 142.46797515450965, 142.46797515450965, 142.48662239842443]}"
9,S_k_229,"                                            geometry
0  POLYGON ((142.67402 -15.54924, 142.65538 -15.5...","{'lats': [-15.5492369765183, -15.54923618820366, -15.531161833855991, -15.531161046502508], 'lons': [142.67402177303615, 142.6553774141069, 142.6553774141069, 142.67402014767683]}"
10,S_k_241,"                                            geometry
0  POLYGON ((126.31227 -16.53584, 126.29353 -16.5...","{'lats': [-16.53583613317611, -16.535835292144622, -16.51776259770809, -16.517761757646912], 'lons': [126.31226773047554, 126.29353139794212, 126.29353139794212, 126.31226598765244]}"
11,S_k_244,"                                            geometry
0  POLYGON ((126.35228 -16.80274, 126.33352 -16.8...","{'lats': [-16.80273589721738, -16.802735041836257, -16.784662812031765, -16.784661957623552], 'lons': [126.35228071811537, 126.33351839417668, 126.33351839417668, 126.35227894303726]}"
12,S_k_253,"                                            geometry
0  POLYGON ((127.01254 -15.99094, 126.99386 -15.9...","{'lats': [-15.990936604609313, -15.990935792755689, -15.972862170269627, -15.972861359381174], 'lons': [127.01254195146058, 126.99385720955927, 126.99385720955927, 127.01254027384915]}"
13,S_k_254,"                                            geometry
0  POLYGON ((126.78794 -16.00024, 126.76926 -16.0...","{'lats': [-16.000236596679848, -16.000235784329536, -15.98216217745016, -15.982161366065109], 'lons': [126.7879423832012, 126.76925677726567, 126.76925677726567, 126.78794070448383]}"
14,S_k_260,"                                            geometry
0  POLYGON ((127.84393 -15.70074, 127.82527 -15.7...","{'lats': [-15.700736849995259, -15.700736053618048, -15.682661948220874, -15.682661152806185], 'lons': [127.84392862210728, 127.82527055610569, 127.82527055610569, 127.84392697888589]}"
15,S_k_261,"                                            geometry
0  POLYGON ((127.78103 -15.77934, 127.76237 -15.7...","{'lats': [-15.779336783925498, -15.77933598336078, -15.761262007976093, -15.761261208374608], 'lons': [127.78103220505099, 127.76236696851664, 127.76236696851664, 127.78103055253798]}"
16,S_k_262,"                                            geometry
0  POLYGON ((127.83613 -15.63694, 127.81747 -15.6...","{'lats': [-15.636936903409488, -15.636936110429009, -15.6188618999288, -15.618861107910268], 'lons': [127.8361257286757, 127.8174734533017, 127.8174734533017, 127.83612409298398]}"
17,S_k_266,"                                            geometry
0  POLYGON ((132.20271 -12.91744, 132.18428 -12.9...","{'lats': [-12.91743899768818, -12.917438347720257, -12.899360021355767, -12.899359372327835], 'lons': [132.20271451727058, 132.18428482041568, 132.1842848204157, 132.20271319302753]}"
18,S_k_267,"                                            geometry
0  POLYGON ((132.26854 -13.50084, 132.25006 -13.5...","{'lats': [-13.500838578888024, -13.500837898515439, -13.48276039428903, -13.482759714860734], 'lons': [132.26853641027012, 132.25006289474618, 132.25006289474618, 132.2685350206811]}"
19,S_k_268,"                                            geometry
0  POLYGON ((132.57942 -12.94054, 132.56098 -12.9...","{'lats': [-12.940538981427244, -12.940538330258077, -12.922460035804491, -12.922459385575483], 'lons': [132.57941536410402, 132.56098397229567, 132.56098397229567, 132.5794140372876]}"
20,S_k_269,"                                            geometry
0  POLYGON ((132.38954 -13.63144, 132.37106 -13.6...","{'lats': [-13.63143848282715, -13.631437795628734, -13.613360480053359, -13.613359793800226], 'lons': [132.38954145620858, 132.37105784144256, 132.37105784144256, 132.38954005188793]}"
21,S_k_270,"                                            geometry
0  POLYGON ((132.77381 -12.89094, 132.75539 -12.8...","{'lats': [-12.89093901630972, -12.890938367719583, -12.872860004812777, -12.872859357162442], 'lons': [132.77381354782108, 132.75538579134044, 132.75538579134044, 132.77381222652875]}"
22,S_k_271,"                                            geometry
0  POLYGON ((132.92130 -12.42404, 132.90290 -12.4...","{'lats': [-12.424039338638813, -12.424038714278154, -12.405959719037924, -12.405959095613788], 'lons': [132.92129682115313, 132.90290254387978, 132.90290254387978, 132.9212955516081]}"
23,S_k_272,"                                            geometry
0  POLYGON ((132.96280 -12.52654, 132.94440 -12.5...","{'lats': [-12.526539268813037, -12.526538639140501, -12.508459780849645, -12.508459152114341], 'lons': [132.96280043596641, 132.94439892340614, 132.94439892340614, 132.9627991550998]}"
24,S_k_274,"                                            geometry
0  POLYGON ((132.84979 -12.35354, 132.83141 -12.3...","{'lats': [-12.353539386358765, -12.353538765649299, -12.335459676826627, -12.335459057053201], 'lons': [132.84979435349632, 132.83140501542357, 132.83140501542357, 132.84979309172599]}"
25,S_k_275,"                                            geometry
0  POLYGON ((132.88390 -12.62794, 132.86550 -12.6...","{'lats': [-12.627939199217675, -12.627938564286264, -12.60985984251101, -12.609859208517538], 'lons': [132.88390404362121, 132.8654953101412, 132.8654953101412, 132.88390275153324]}"
26,S_k_279,"                                            geometry
0  POLYGON ((132.15833 -13.28084, 132.13987 -13.2...","{'lats': [-13.280838738800476, -13.280838069909978, -13.262760251697397, -13.262759583749542], 'lons': [132.15832803042295, 132.13987128695695, 132.13987128695695, 132.15832666556346]}"
27,S_k_280,"                                            geometry
0  POLYGON ((132.66273 -13.44254, 132.64427 -13.4...","{'lats': [-13.442538621497944, -13.442537944170088, -13.424460356272055, -13.424459679888049], 'lons': [132.66273417493804, 132.6442651333599, 132.6442651333599, 132.66273279191284]}"
28,S_k_282,"                                            geometry
0  POLYGON ((132.88960 -12.47894, 132.87120 -12.4...","{'lats': [-12.478939301305088, -12.478938674099842, -12.460859752079992, -12.460859125811648], 'lons': [132.88959875328771, 132.87120060871482, 132.87120060871482, 132.8895974776814]}"
29,S_k_283,"                                            geometry
0  POLYGON ((132.95591 -12.76784, 132.93749 -12.7...","{'lats': [-12.767839102352342, -12.767838460158725, -12.749759928420142, -12.749759287165453], 'lons': [132.95590907280928, 132.9374902731954, 132.93749027319544, 132.95590776520447]}"
30,S_k_285,"                                            geometry
0  POLYGON ((132.86353 -13.45164, 132.84506 -13.4...","{'lats': [-13.451638614858057, -13.451637937055045, -13.433560362195173, -13.433559685336078], 'lons': [132.86353452315154, 132.84506478463436, 132.84506478463436, 132.86353313910234]}"
31,S_k_286,"                                            geometry
0  POLYGON ((132.94092 -13.00894, 132.92248 -13.0...","{'lats': [-13.008938933122012, -13.008938278394659, -12.990860078741838, -12.990859424955136], 'lons': [132.9409178812655, 132.92248145132126, 132.92248145132126, 132.94091654682254]}"
32,S_k_288,"                                            geometry
0  POLYGON ((132.61494 -13.64534, 132.59646 -13.6...","{'lats': [-13.645338472553703, -13.645337784628374, -13.62726048923029, -13.627259802250347], 'lons': [132.61494199639498, 132.59645730047114, 132.59645730047114, 132.61494059050412]}"
33,S_k_289,"                                            geometry
0  POLYGON ((132.82271 -12.68524, 132.80429 -12.6...","{'lats': [-12.685239159662208, -12.68523852175729, -12.667159877580438, -12.667159240613856], 'lons': [132.82270609620272, 132.80429325438473, 132.80429325438473, 132.82270479776432]}"
34,S_k_290,"                                            geometry
0  POLYGON ((132.88331 -12.83244, 132.86489 -12.8...","{'lats': [-12.832439057293564, -12.832438411743956, -12.814359968415944, -12.81435932380572], 'lons': [132.8833114153751, 132.8648879270404, 132.8648879270404, 132.88331010059133]}"
35,S_k_291,"                                            geometry
0  POLYGON ((132.86391 -12.79214, 132.84549 -12.7...","{'lats': [-12.79213908542746, -12.792138441971646, -12.774059943440825, -12.774059300924106], 'lons': [132.86390995248507, 132.84548939217, 132.84548939217, 132.86390864218083]}"
36,S_k_292,"                                            geometry
0  POLYGON ((132.63265 -13.75024, 132.61415 -13.7...","{'lats': [-13.750238394715744, -13.7502377013019, -13.732160558789165, -13.732159866321519], 'lons': [132.6326460925548, 132.61415319837985, 132.61415319837985, 132.63264467479985]}"
37,S_k_293,"                                            geometry
0  POLYGON ((132.49653 -13.41934, 132.47807 -13.4...","{'lats': [-13.419338638407483, -13.419337962290854, -13.401260341189639, -13.401259666016687], 'lons': [132.49653328835183, 132.47806602125092, 132.47806602125092, 132.49653190793654]}"
38,S_k_295,"                                            geometry
0  POLYGON ((132.92731 -12.89714, 132.90889 -12.8...","{'lats': [-12.897139011956122, -12.89713836304366, -12.87906000868011, -12.879059360707492], 'lons': [132.92731377444176, 132.90888556437474, 132.90888556437474, 132.9273124524592]}"
39,S_k_298,"                                            geometry
0  POLYGON ((133.00680 -12.64334, 132.98839 -12.6...","{'lats': [-12.64333918860287, -12.643338552872418, -12.625259851920319, -12.625259217127912], 'lons': [133.00680459428526, 132.98839475862417, 132.98839475862417, 133.00680330049119]}"
40,S_k_299,"                                            geometry
0  POLYGON ((132.77995 -13.74254, 132.76145 -13.7...","{'lats': [-13.742538400447712, -13.742537707436906, -13.72446055366515, -13.724459861600483], 'lons': [132.7799457907113, 132.76145350065917, 132.76145350065917, 132.7799443738281]}"
41,S_k_301,"                                            geometry
0  POLYGON ((132.96801 -12.87084, 132.94959 -12.8...","{'lats': [-12.870839030410615, -12.870838382865328, -12.852759992288163, -12.852759345682532], 'lons': [132.96801281394593, 132.949586526334, 132.949586526334, 132.96801149489067]}"
42,S_k_303,"                                            geometry
0  POLYGON ((132.96410 -12.55004, 132.94570 -12.5...","{'lats': [-12.550039252729848, -12.550038621838892, -12.531959795094606, -12.53195916514105], 'lons': [132.96410126925682, 132.94569808881656, 132.94569808881656, 132.96409998579148]}"
43,S_k_304,"                                            geometry
0  POLYGON ((133.00000 -12.59424, 132.98160 -12.5...","{'lats': [-12.594239222404703, -12.594238589221508, -12.576159821961479, -12.576159189715986], 'lons': [133.00000284113293, 132.98159651449515, 132.98159651449515, 133.0000015527767]}"
44,S_k_305,"                                            geometry
0  POLYGON ((132.52181 -12.91904, 132.50338 -12.9...","{'lats': [-12.91903899656274, -12.919038346511622, -12.900960022355703, -12.900959373244586], 'lons': [132.52181457587267, 132.5033847617245, 132.5033847617245, 132.52181325145142]}"
45,S_k_306,"                                            geometry
0  POLYGON ((132.38410 -12.55964, 132.36570 -12.5...","{'lats': [-12.55963924615172, -12.55963861476297, -12.541559800921712, -12.541559170470421], 'lons': [132.38410161015113, 132.3656977473913, 132.3656977473913, 132.38410032562385]}"
46,S_k_309,"                                            geometry
0  POLYGON ((132.91659 -12.32734, 132.89821 -12.3...","{'lats': [-12.327339404029239, -12.327338784676181, -12.309259661202624, -12.30925904278543], 'lons': [132.91659344030313, 132.89820593006002, 132.89820593006002, 132.91659218141953]}"
47,S_k_310,"                                            geometry
0  POLYGON ((132.30564 -13.55364, 132.28716 -13.5...","{'lats': [-13.553638540153079, -13.553637857021764, -13.53556042886249, -13.535559746675867], 'lons': [132.30563844386862, 132.28716085817234, 132.28716085817234, 132.3056370483284]}"
48,S_k_311,"                                            geometry
0  POLYGON ((132.95171 -12.79204, 132.93329 -12.7...","{'lats': [-12.792039085497168, -12.79203844204655, -12.77395994337895, -12.773959300867428], 'lons': [132.9517099488613, 132.93328939579936, 132.93328939579936, 132.95170863856816]}"
49,S_k_312,"                                            geometry
0  POLYGON ((132.60682 -13.00484, 132.58838 -13.0...","{'lats': [-13.004838936024067, -13.004838281510052, -12.986760076161621, -12.986759422588227], 'lons': [132.60681772997611, 132.58838160283935, 132.58838160283935, 132.60681639599056]}"
50,S_k_314,"                                            geometry
0  POLYGON ((132.89112 -13.00544, 132.87268 -13.0...","{'lats': [-13.005438935599434, -13.005438281054198, -12.987360076539167, -12.987359422934558], 'lons': [132.8911177521128, 132.8726815806692, 132.8726815806692, 132.89111641806028]}"
51,S_k_315,"                                            geometry
0  POLYGON ((132.92971 -12.82904, 132.91129 -12.8...","{'lats': [-12.82903905967028, -12.829038414297345, -12.810959966305766, -12.81095932187219], 'lons': [132.92971129176206, 132.91128805084244, 132.91128805084244, 132.92970997735637]}"
52,S_k_318,"                                            geometry
0  POLYGON ((132.80151 -12.83334, 132.78309 -12.8...","{'lats': [-12.83333905666434, -12.833338411067967, -12.815259968974622, -12.815259324317639], 'lons': [132.80151144810213, 132.78308789426333, 132.78308789426333, 132.80151013321833]}"
53,S_k_319,"                                            geometry
0  POLYGON ((132.33050 -12.55904, 132.31210 -12.5...","{'lats': [-12.55903924656299, -12.559038615205353, -12.540959800557383, -12.540959170137203], 'lons': [132.330501588837, 132.31209776873862, 132.31209776873862, 132.33050030437607]}"
54,S_k_320,"                                            geometry
0  POLYGON ((132.29683 -13.24234, 132.27837 -13.2...","{'lats': [-13.242338766538763, -13.242338099655559, -13.224260226987187, -13.224259561046344], 'lons': [132.29682657941905, 132.278372740119, 132.278372740119, 132.29682521887625]}"
55,S_k_321,"                                            geometry
0  POLYGON ((132.59872 -12.94064, 132.58028 -12.9...","{'lats': [-12.940638981356795, -12.940638330182427, -12.922560035867095, -12.922559385632887], 'lons': [132.5987153677735, 132.58028396862053, 132.58028396862053, 132.59871404094594]}"
56,S_k_322,"                                            geometry
0  POLYGON ((132.34443 -13.30464, 132.32597 -13.3...","{'lats': [-13.30463872161642, -13.304638051484744, -13.2865602670091, -13.286559597820244], 'lons': [132.3444289297089, 132.32597038633608, 132.32597038633608, 132.34442756217933]}"
57,S_k_323,"                                            geometry
0  POLYGON ((132.01401 -12.73474, 131.99559 -12.7...","{'lats': [-12.734739125358903, -12.734738484884206, -12.716659908006825, -12.716659268470817], 'lons': [132.0140078774879, 131.99559147035404, 131.99559147035404, 132.01400657355802]}"
58,S_k_324,"                                            geometry
0  POLYGON ((132.57825 -13.80414, 132.55975 -13.8...","{'lats': [-13.804138354510389, -13.804137658274579, -13.786060594737803, -13.78605989944861], 'lons': [132.57824821066453, 132.5597510772174, 132.5597510772174, 132.5782467868037]}"
59,S_k_325,"                                            geometry
0  POLYGON ((132.93860 -12.55624, 132.92020 -12.5...","{'lats': [-12.556239248482006, -12.55623861726956, -12.538159798857425, -12.53815916858242], 'lons': [132.93860148938546, 132.92019786834504, 132.92019786834507, 132.93860020523437]}"
60,S_k_328,"                                            geometry
0  POLYGON ((132.18131 -12.79864, 132.16289 -12.7...","{'lats': [-12.798639080895226, -12.798638437101749, -12.78055994746365, -12.780559304609316], 'lons': [132.18131018809711, 132.16288915619685, 132.16288915619685, 132.18130887707062]}"
61,S_k_329,"                                            geometry
0  POLYGON ((131.89950 -12.56224, 131.88110 -12.5...","{'lats': [-12.562239244369353, -12.562238612845777, -12.544159802500676, -12.544159171914579], 'lons': [131.89950170252524, 131.88109765487337, 131.8810976548734, 131.89950041771039]}"
62,S_k_331,"                                            geometry
0  POLYGON ((132.55131 -12.69134, 132.53289 -12.6...","{'lats': [-12.691339155441554, -12.691338517220004, -12.673259881323395, -12.67325924404023], 'lons': [132.5513063153082, 132.53289303494103, 132.53289303494103, 132.5513050161933]}"
63,S_k_333,"                                            geometry
0  POLYGON ((132.47823 -13.36214, 132.45977 -13.3...","{'lats': [-13.362138679984534, -13.36213800685324, -13.344060304116, -13.344059631927955], 'lons': [132.47823110961602, 132.45976820320118, 132.45976820320118, 132.47822973563038]}"
64,S_k_334,"                                            geometry
0  POLYGON ((132.91095 -13.95114, 132.89245 -13.9...","{'lats': [-13.951138244134679, -13.951137540196184, -13.933060693494813, -13.933059990504075], 'lons': [132.91095403369297, 132.8924452458466, 132.8924452458466, 132.91095259314565]}"
65,S_k_337,"                                            geometry
0  POLYGON ((132.69441 -12.87104, 132.67599 -12.8...","{'lats': [-12.871039030270405, -12.871038382714719, -12.852959992412686, -12.852959345796657], 'lons': [132.69441282124205, 132.6759865190268, 132.6759865190268, 132.69441150216457]}"
